stt,word,pronunciation,meaning,word_type,example,topic,source_url
because of / /bɪˈkɔːz əv/,Bởi vì,preposition,The flight was delayed because of fog. (Chuyến bay bị hoãn vì sương mù.),,Sửa từXóa từ,IELTS Writing Task 1: Từ nối thường dùng,https://luyentu.com/words
nevertheless / /ˌnevəðəˈles/,Tuy nhiên,adverb,"She was tired; nevertheless, she finished the job. (Cô ấy mệt nhưng vẫn hoàn thành công việc.)",,Sửa từXóa từ,IELTS Writing Task 1: Từ nối thường dùng,https://luyentu.com/words
however / /ˌhaʊˈevər/,Tuy nhiên,adverb,"It was raining; however, they continued playing. (Trời mưa nhưng họ vẫn tiếp tục chơi.)",,Sửa từXóa từ,IELTS Writing Task 1: Từ nối thường dùng,https://luyentu.com/words
on the other hand / /ɒn ði ˈʌðə hænd/,Mặt khác,conjunction,"The plan is costly; on the other hand, it's effective. (Kế hoạch tốn kém, nhưng mặt khác rất hiệu quả.)",,Sửa từXóa từ,IELTS Writing Task 1: Từ nối thường dùng,https://luyentu.com/words
to sum up / /tə sʌm ʌp/,Tóm lại,conjunction,"To sum up, the project was successful. (Tóm lại, dự án đã thành công.)",,Sửa từXóa từ,IELTS Writing Task 1: Từ nối thường dùng,https://luyentu.com/words
in conclusion / /ɪn kənˈkluːʒən/,Kết luận,conjunction,"In conclusion, more research is needed. (Kết luận, cần thêm nghiên cứu.)",,Sửa từXóa từ,IELTS Writing Task 1: Từ nối thường dùng,https://luyentu.com/words
color / /ˈkʌl.ər/,Màu sắc,noun,Color makes the wall stand out.,,Sửa từXóa từ,Người mới: Chủ đề Màu sắc,https://luyentu.com/words
red / /red/,Đỏ,noun,Red represents the color of blood.,,Sửa từXóa từ,Người mới: Chủ đề Màu sắc,https://luyentu.com/words
blue / /bluː/,Xanh nước biển,noun,Blue gives a cool feeling.,,Sửa từXóa từ,Người mới: Chủ đề Màu sắc,https://luyentu.com/words
green / /ɡriːn/,Xanh lá cây,noun,Green is symbolic of summer.,,Sửa từXóa từ,Người mới: Chủ đề Màu sắc,https://luyentu.com/words
yellow / /ˈjel.oʊ/,Vàng,noun,I like the yellow color of ripe rice fields.,,Sửa từXóa từ,Người mới: Chủ đề Màu sắc,https://luyentu.com/words
orange / /ˈɔːr.ɪndʒ/,Cam,noun,I have an orange bag.,,Sửa từXóa từ,Người mới: Chủ đề Màu sắc,https://luyentu.com/words
pink / /pɪŋk/,Hồng,noun,The pink color is symbolic of love.,,Sửa từXóa từ,Người mới: Chủ đề Màu sắc,https://luyentu.com/words
purple / /ˈpɜːr.pəl/,Tím,noun,Purple is a symbol of fidelity.,,Sửa từXóa từ,Người mới: Chủ đề Màu sắc,https://luyentu.com/words
brown / /braʊn/,Nâu,noun,Brown gives an antique feel.,,Sửa từXóa từ,Người mới: Chủ đề Màu sắc,https://luyentu.com/words
black / /blæk/,Đen,noun,Black is a masculine color.,,Sửa từXóa từ,Người mới: Chủ đề Màu sắc,https://luyentu.com/words
white / /waɪt/,Trắng,noun,White is easy to get dirty.,,Sửa từXóa từ,Người mới: Chủ đề Màu sắc,https://luyentu.com/words
family members / /ˈfæməli ˈmɛmbərz/,thành viên gia đình,phrase,We are all proud family members. (Tất cả chúng tôi đều là những thành viên gia đình tự hào.),,Sửa từXóa từ,Người mới: Chủ đề Gia đình,https://luyentu.com/words
close relatives / /kloʊs ˈrɛlətɪvz/,họ hàng thân thiết,phrase,My close relatives live in another city. (Họ hàng thân thiết của tôi sống ở thành phố khác.),,Sửa từXóa từ,Người mới: Chủ đề Gia đình,https://luyentu.com/words
immediate family / /ɪˈmidiət ˈfæməli/,gia đình ruột thịt,phrase,My immediate family consists of my parents and my brother. (Gia đình ruột thịt của tôi gồm bố mẹ và anh trai tôi.),,Sửa từXóa từ,Người mới: Chủ đề Gia đình,https://luyentu.com/words
extended family / /ɪkˈstɛndɪd ˈfæməli/,gia đình nhiều thế hệ/họ hàng xa,phrase,We often have gatherings with our extended family. (Chúng tôi thường có các buổi họp mặt với họ hàng xa.),,Sửa từXóa từ,Người mới: Chủ đề Gia đình,https://luyentu.com/words
parents / /ˈpɛrənts/,bố mẹ,noun,My parents are very supportive. (Bố mẹ tôi rất ủng hộ.),,Sửa từXóa từ,Người mới: Chủ đề Gia đình,https://luyentu.com/words
mother / /ˈmʌðər/,mẹ,noun,My mother is a great cook. (Mẹ tôi nấu ăn rất ngon.),,Sửa từXóa từ,Người mới: Chủ đề Gia đình,https://luyentu.com/words
father / /ˈfɑːðər/,bố,noun,My father works as an engineer. (Bố tôi làm kỹ sư.),,Sửa từXóa từ,Người mới: Chủ đề Gia đình,https://luyentu.com/words
siblings / /ˈsɪblɪŋz/,anh chị em ruột,noun,"I have two siblings, a brother and a sister. (Tôi có hai anh chị em ruột, một em trai và một em gái.)",,Sửa từXóa từ,Người mới: Chủ đề Gia đình,https://luyentu.com/words
brother / /ˈbrʌðər/,"anh trai, em trai",noun,My brother is younger than me. (Anh trai/em trai tôi kém tuổi tôi.),,Sửa từXóa từ,Người mới: Chủ đề Gia đình,https://luyentu.com/words
sister / /ˈsɪstər/,"chị gái, em gái",noun,My sister is very kind. (Chị gái/em gái tôi rất tốt bụng.),,Sửa từXóa từ,Người mới: Chủ đề Gia đình,https://luyentu.com/words
child / /tʃaɪld/,đứa trẻ,noun,The child is playing happily. (Đứa trẻ đang chơi vui vẻ.),,Sửa từXóa từ,Người mới: Chủ đề Gia đình,https://luyentu.com/words
son / /sʌn/,con trai,noun,He is my only son. (Anh ấy là con trai duy nhất của tôi.),,Sửa từXóa từ,Người mới: Chủ đề Gia đình,https://luyentu.com/words
daughter / /ˈdɔːtər/,con gái,noun,My daughter is a talented artist. (Con gái tôi là một họa sĩ tài năng.),,Sửa từXóa từ,Người mới: Chủ đề Gia đình,https://luyentu.com/words
grandparents / /ˈɡrænˌpɛrənts/,ông bà,noun,My grandparents are visiting this weekend. (Ông bà tôi sẽ đến thăm cuối tuần này.),,Sửa từXóa từ,Người mới: Chủ đề Gia đình,https://luyentu.com/words
spouse / /spaʊs/,"vợ, chồng",noun,She is my loving spouse. (Cô ấy là người vợ/chồng yêu dấu của tôi.),,Sửa từXóa từ,Người mới: Chủ đề Gia đình,https://luyentu.com/words
wine / /waɪn/,rượu,noun,Mark decided to unwind with a glass of red wine. (Mark quyết định thư giãn bằng một ly rượu vang đỏ.),,Sửa từXóa từ,Người mới: Chủ đề Đồ ăn,https://luyentu.com/words
baked potato / /beɪk pəˈteɪtoʊ/,khoai tây nướng,noun,The restaurant served a perfectly baked potato with a crispy skin and a fluffy interior. (Nhà hàng phục vụ món khoai tây nướng hoàn hảo với lớp vỏ giòn và phần bên trong mềm mịn.),,Sửa từXóa từ,Người mới: Chủ đề Đồ ăn,https://luyentu.com/words
bacon / /ˈbeɪ.kən/,thịt ba chỉ xông khói,noun,Sarah prepared sizzling bacon for her family. (Sarah chuẩn bị món thịt xông khói nóng hổi cho gia đình cô.),,Sửa từXóa từ,Người mới: Chủ đề Đồ ăn,https://luyentu.com/words
baguette / /bæɡˈet/,bánh mì,noun,"At the bakery, customers lined up to buy freshly baked baguettes. (Tại tiệm bánh, khách hàng xếp hàng dài để mua bánh mì mới ra lò.)",,Sửa từXóa từ,Người mới: Chủ đề Đồ ăn,https://luyentu.com/words
beer / /bɪr/,bia,noun,My friends open cold beers to enjoy with their grilled burgers and sausages. (Bạn bè tôi mở bia lạnh để thưởng thức cùng với bánh mì kẹp thịt nướng và xúc xích.),,Sửa từXóa từ,Người mới: Chủ đề Đồ ăn,https://luyentu.com/words
beans / /biːnz/,đậu,noun,"In the vegetarian chili recipe, they use a variety of kidney beans and black beans. (Trong công thức nấu súp mễ chay, người ta sử dụng nhiều đậu tây và đậu đen.)",,Sửa từXóa từ,Người mới: Chủ đề Đồ ăn,https://luyentu.com/words
biscuit / /ˈbɪs.kɪt/,bánh quy,noun,Maria enjoyed her afternoon tea with biscuits. (Maria thưởng thức bữa trà chiều với bánh quy.),,Sửa từXóa từ,Người mới: Chủ đề Đồ ăn,https://luyentu.com/words
croissant / /ˈkwæs.ɒ̃/,bánh sừng bò,noun,The aroma of freshly baked croissants wafted through the air as customers entered the bakery. (Mùi thơm của bánh sừng bò mới nướng thoang thoảng trong không khí khi khách hàng bước vào tiệm bánh.),,Sửa từXóa từ,Người mới: Chủ đề Đồ ăn,https://luyentu.com/words
cheese / /tʃiːz/,"pho mát, phô mai",noun,Some people dislike goat's cheese because they think it tastes too strong. (Một số người không thích phô mai dê vì họ cho rằng nó có vị quá nồng.),,Sửa từXóa từ,Người mới: Chủ đề Đồ ăn,https://luyentu.com/words
chicken nuggets / /ˈtʃɪkɪn ˈnʌɡɪt/,gà viên chiên,noun,The children eagerly dipped their chicken nuggets into tangy barbecue sauce. (Bọn trẻ háo hức nhúng các miếng gà viên chiên vào nước sốt thịt nướng thơm nồng.),,Sửa từXóa từ,Người mới: Chủ đề Đồ ăn,https://luyentu.com/words
chicken breast / /ˈtʃɪkɪn brest/,ức gà,noun,"Grilled chicken breast, marinated in herbs and spices, was the centerpiece of the healthy dinner. (Ức gà nướng được ướp với các loại thảo mộc và gia vị, là món chính của bữa tối bổ dưỡng.)",,Sửa từXóa từ,Người mới: Chủ đề Đồ ăn,https://luyentu.com/words
crab / /kræb/,cua,noun,The seafood restaurant offered a sumptuous dish of crab legs. (Nhà hàng hải sản phục vụ món chân cua ngon tuyệt.),,Sửa từXóa từ,Người mới: Chủ đề Đồ ăn,https://luyentu.com/words
coke / /koʊk/,Coca-cola,noun,"At the party, guests enjoyed sipping on ice-cold Coke while socializing and playing games. (Trong bữa tiệc, các vị khách vừa nhâm nhi cốc Coca-cola mát lạnh vừa giao lưu và chơi trò chơi.)",,Sửa từXóa từ,Người mới: Chủ đề Đồ ăn,https://luyentu.com/words
chili sauce / /ˈtʃɪli sɔːs/,tương ớt,noun,The spicy chili sauce added a kick to the stir-fried noodles. (Nước sốt ớt cay đã làm cho món mì xào thêm phần hấp dẫn.),,Sửa từXóa từ,Người mới: Chủ đề Đồ ăn,https://luyentu.com/words
crepe / /kreɪp/,bánh kếp,noun,The street vendor skillfully flipped a delicate crepe. (Người bán hàng rong khéo léo lật chiếc bánh xếp mỏng dính.),,Sửa từXóa từ,Người mới: Chủ đề Đồ ăn,https://luyentu.com/words
juice / /dʒuːs/,nước ép trái cây,noun,Freshly squeezed orange juice was a popular choice for breakfast at the juice bar. (Nước cam tươi vắt là một món ưa thích cho bữa sáng tại quầy bán nước ép trái cây.),,Sửa từXóa từ,Người mới: Chủ đề Đồ ăn,https://luyentu.com/words
fried chicken / /fraɪd ˈtʃɪk.ɪn/,gà rán,noun,The crispy coating on the fried chicken made it a favorite among the diners. (Lớp vỏ gà rán giòn rụm là điềukhiến nó trở thành món ăn được thực khách yêu thích.),,Sửa từXóa từ,Người mới: Chủ đề Đồ ăn,https://luyentu.com/words
hotdog / /ˈhɒt.dɒɡ/,xúc xích,noun,"At the baseball game, spectators enjoyed classic hotdogs loaded. (Tại trận đấu bóng chày, khán giả được thưởng thức món xúc xích truyền thống đầy hấp dẫn.)",,Sửa từXóa từ,Người mới: Chủ đề Đồ ăn,https://luyentu.com/words
milk / /mɪlk/,sữa,noun,"The children sipped on cold glasses of milk, pairing it with warm chocolate chip cookies for an afternoon treat. (Bọn trẻ nhâm nhi những ly sữa lạnh, cùng với bánh quy sô cô la nóng cho bữa chiều.)",,Sửa từXóa từ,Người mới: Chủ đề Đồ ăn,https://luyentu.com/words
noodle / /ˈnuː.dəl/,"mì sợi (bún, bánh phở, ...)",noun,"The aromatic bowl of noodle soup, garnished with fresh herbs, was a comforting meal on a chilly evening. (Bát bún thơm lừng ăn cùng các loại rau thơm là một bữa ăn hoàn hảo trong một buổi tối se lạnh.)",,Sửa từXóa từ,Người mới: Chủ đề Đồ ăn,https://luyentu.com/words
economy / /ɪˈkɒnəmi/,Nền kinh tế,noun,The country's economy is recovering after the crisis. (Nền kinh tế của đất nước đang phục hồi sau khủng hoảng.),,Sửa từXóa từ,HuyForum: Chủ đề Kinh tế (Economy),https://luyentu.com/words
inflation / /ɪnˈfleɪʃn/,Lạm phát,noun,High inflation affects consumers' purchasing power. (Lạm phát cao ảnh hưởng đến sức mua của người tiêu dùng.),,Sửa từXóa từ,HuyForum: Chủ đề Kinh tế (Economy),https://luyentu.com/words
unemployment / /ˌʌnɪmˈplɔɪmənt/,Thất nghiệp,noun,Unemployment rates rise during economic recessions. (Tỷ lệ thất nghiệp tăng cao trong giai đoạn suy thoái kinh tế.),,Sửa từXóa từ,HuyForum: Chủ đề Kinh tế (Economy),https://luyentu.com/words
market / /ˈmɑːrkɪt/,Thị trường,noun,The stock market has been highly volatile this week. (Thị trường chứng khoán biến động mạnh trong tuần qua.),,Sửa từXóa từ,HuyForum: Chủ đề Kinh tế (Economy),https://luyentu.com/words
investment / /ɪnˈvestmənt/,Đầu tư,noun,Investment in education is an investment in the future. (Đầu tư vào giáo dục là đầu tư cho tương lai.),,Sửa từXóa từ,HuyForum: Chủ đề Kinh tế (Economy),https://luyentu.com/words
revenue / /ˈrevəˌnuː/,Doanh thu,noun,The company announced record revenue this year. (Công ty công bố doanh thu kỷ lục trong năm nay.),,Sửa từXóa từ,HuyForum: Chủ đề Kinh tế (Economy),https://luyentu.com/words
deficit / /ˈdefɪsɪt/,Thâm hụt,noun,The government is striving to reduce the budget deficit. (Chính phủ đang nỗ lực giảm thâm hụt ngân sách.),,Sửa từXóa từ,HuyForum: Chủ đề Kinh tế (Economy),https://luyentu.com/words
export / /ˈɛkspɔːrt/,Xuất khẩu,noun,Rice exports contribute significantly to the national economy. (Xuất khẩu gạo đóng góp lớn vào nền kinh tế quốc gia.),,Sửa từXóa từ,HuyForum: Chủ đề Kinh tế (Economy),https://luyentu.com/words
gdp / /ˌdʒiː diː ˈpiː/,Tổng sản phẩm quốc nội,noun,GDP is an important measure of economic activity. (GDP là thước đo quan trọng của hoạt động kinh tế.),,Sửa từXóa từ,HuyForum: Chủ đề Kinh tế (Economy),https://luyentu.com/words
currency / /ˈkʌrənsi/,Tiền tệ,noun,Currency exchange rates fluctuate daily. (Tỷ giá tiền tệ thay đổi hàng ngày.),,Sửa từXóa từ,HuyForum: Chủ đề Kinh tế (Economy),https://luyentu.com/words
invest / /ɪnˈvest/,Đầu tư,verb,Many people choose to invest in real estate. (Nhiều người chọn đầu tư vào bất động sản.),,Sửa từXóa từ,HuyForum: Chủ đề Kinh tế (Economy),https://luyentu.com/words
economize / /ɪˈkɒnəˌmaɪz/,"Tiết kiệm, kinh tế hóa",verb,The family tries to economize to cope with difficulties. (Gia đình cố gắng tiết kiệm chi tiêu để đối phó với khó khăn.),,Sửa từXóa từ,HuyForum: Chủ đề Kinh tế (Economy),https://luyentu.com/words
negotiate / /nɪˈɡəʊʃieɪt/,Đàm phán,verb,The two parties are negotiating a new contract. (Hai bên đang đàm phán hợp đồng mới.),,Sửa từXóa từ,HuyForum: Chủ đề Kinh tế (Economy),https://luyentu.com/words
trade / /treɪd/,"Thương mại, buôn bán",verb,Countries establish free trade agreements. (Các quốc gia thiết lập hiệp định thương mại tự do.),,Sửa từXóa từ,HuyForum: Chủ đề Kinh tế (Economy),https://luyentu.com/words
expand / /ɪkˈspænd/,Mở rộng,verb,The company plans to expand its business into international markets. (Công ty có kế hoạch mở rộng kinh doanh sang thị trường quốc tế.),,Sửa từXóa từ,HuyForum: Chủ đề Kinh tế (Economy),https://luyentu.com/words
economic / /ˌiːkəˈnɒmɪk/,Thuộc về kinh tế,adjective,The new economic policy is expected to boost growth. (Chính sách kinh tế mới được kỳ vọng sẽ thúc đẩy tăng trưởng.),,Sửa từXóa từ,HuyForum: Chủ đề Kinh tế (Economy),https://luyentu.com/words
financial / /faɪˈnænʃl/,Thuộc về tài chính,adjective,She is the company's financial director. (Cô ấy là giám đốc tài chính của công ty.),,Sửa từXóa từ,HuyForum: Chủ đề Kinh tế (Economy),https://luyentu.com/words
profitable / /ˈprɒfɪtəbl/,Có lợi nhuận,adjective,This is a highly profitable investment. (Đây là một khoản đầu tư có lợi nhuận cao.),,Sửa từXóa từ,HuyForum: Chủ đề Kinh tế (Economy),https://luyentu.com/words
competitive / /kəmˈpetɪtɪv/,Có tính cạnh tranh,adjective,The retail market is very competitive. (Thị trường bán lẻ rất cạnh tranh.),,Sửa từXóa từ,HuyForum: Chủ đề Kinh tế (Economy),https://luyentu.com/words
economic growth / /ˌiːkəˈnɒmɪk ɡrəʊθ/,Tăng trưởng kinh tế,phrase,The government targets an economic growth of 7% this year. (Chính phủ đặt mục tiêu tăng trưởng kinh tế 7% năm nay.),,Sửa từXóa từ,HuyForum: Chủ đề Kinh tế (Economy),https://luyentu.com/words
supply and demand / /səˈplaɪ ənd dɪˈmɑːnd/,Cung và cầu,phrase,Prices are determined by supply and demand in the market. (Giá cả được quyết định bởi cung và cầu trên thị trường.),,Sửa từXóa từ,HuyForum: Chủ đề Kinh tế (Economy),https://luyentu.com/words
free market / /friː ˈmɑːrkɪt/,Thị trường tự do,phrase,A free market encourages competition and innovation. (Thị trường tự do thúc đẩy cạnh tranh và đổi mới.),,Sửa từXóa từ,HuyForum: Chủ đề Kinh tế (Economy),https://luyentu.com/words
cost of living / /kɒst əv ˈlɪvɪŋ/,Chi phí sinh hoạt,phrase,The cost of living in big cities is usually higher than in rural areas. (Chi phí sinh hoạt ở thành phố lớn thường cao hơn vùng nông thôn.),,Sửa từXóa từ,HuyForum: Chủ đề Kinh tế (Economy),https://luyentu.com/words
standard of living / /ˈstændərd əv ˈlɪvɪŋ/,Mức sống,phrase,People's standard of living improves thanks to economic development. (Mức sống của người dân cải thiện nhờ kinh tế phát triển.),,Sửa từXóa từ,HuyForum: Chủ đề Kinh tế (Economy),https://luyentu.com/words
demographic / /ˌdem.əˈɡræf.ɪk/,Nhân khẩu học; liên quan đến cấu trúc dân số (population characteristics),noun/adjective,The country's demographic profile shows an ageing population.,,Sửa từXóa từ,HuyForum: Chủ đề SOCIETY(XÃ HỘI),https://luyentu.com/words
inequality / /ˌɪn.ɪˈkwɒl.ə.ti/,"Bất bình đẳng; tình trạng không bình đẳng hoặc công bằng (disparity, imbalance)",noun,Income inequality can lead to social unrest.,,Sửa từXóa từ,HuyForum: Chủ đề SOCIETY(XÃ HỘI),https://luyentu.com/words
cohesion / /kəʊˈhiː.ʒən/,"Sự gắn kết; trạng thái kết nối hoặc thống nhất (unity, solidarity)",noun,Social cohesion is essential for a stable society.,,Sửa từXóa từ,HuyForum: Chủ đề SOCIETY(XÃ HỘI),https://luyentu.com/words
marginalization / /ˌmɑː.dʒɪ.nə.laɪˈzeɪ.ʃən/,"Sự thiệt thòi; quá trình đẩy một nhóm người ra ngoài lề xã hội (exclusion, alienation)",noun,Policies must address the marginalization of minority communities.,,Sửa từXóa từ,HuyForum: Chủ đề SOCIETY(XÃ HỘI),https://luyentu.com/words
infrastructure / /ˈɪn.frəˌstrʌk.tʃər/,"Cơ sở hạ tầng; các hệ thống cơ bản và dịch vụ cần thiết cho hoạt động của một xã hội hoặc tổ chức (facilities, groundwork)",noun,Investment in infrastructure is crucial for economic development.,,Sửa từXóa từ,HuyForum: Chủ đề SOCIETY(XÃ HỘI),https://luyentu.com/words
urbanization / /ˌɜː.bən.aɪˈzeɪ.ʃən/,Sự đô thị hóa; quá trình chuyển từ nông thôn sang đô thị (city growth),noun,Rapid urbanization can lead to overcrowded cities and inadequate services.,,Sửa từXóa từ,HuyForum: Chủ đề SOCIETY(XÃ HỘI),https://luyentu.com/words
multicultural / /ˌmʌl.tiˈkʌl.tʃər.əl/,"Đa văn hóa; bao gồm nhiều nền văn hóa khác nhau (diverse, cosmopolitan)",adjective,A multicultural society can enrich its cultural tapestry through diversity.,,Sửa từXóa từ,HuyForum: Chủ đề SOCIETY(XÃ HỘI),https://luyentu.com/words
social mobility / /ˌsəʊ.ʃəl məʊˈbɪl.ə.ti/,Sự di chuyển xã hội; khả năng chuyển đổi vị trí xã hội từ tầng lớp này sang tầng lớp khác (upward mobility),noun,Education is a key factor in promoting social mobility.,,Sửa từXóa từ,HuyForum: Chủ đề SOCIETY(XÃ HỘI),https://luyentu.com/words
alienation / /ˌeɪ.li.əˈneɪ.ʃən/,"Sự xa lánh; cảm giác bị tách biệt hoặc không thuộc về một nhóm hoặc xã hội (isolation, estrangement)",noun,Technological advances can sometimes lead to social alienation.,,Sửa từXóa từ,HuyForum: Chủ đề SOCIETY(XÃ HỘI),https://luyentu.com/words
assimilation / /əˌsɪm.ɪˈleɪ.ʃən/,"Sự đồng hóa; quá trình mà một người hoặc nhóm người hấp thụ văn hóa và thói quen của một nhóm khác (integration, absorption)",noun,Immigrants often face challenges in assimilation into the host culture.,,Sửa từXóa từ,HuyForum: Chủ đề SOCIETY(XÃ HỘI),https://luyentu.com/words
pandemic / /pænˈdem.ɪk/,Đại dịch; sự bùng phát của một bệnh truyền nhiễm trên phạm vi toàn cầu. (synonym: global epidemic),noun,The COVID-19 pandemic has had profound effects on economies worldwide.,,Sửa từXóa từ,HuyForum: Chủ đề HEALTH (SỨC KHỎE),https://luyentu.com/words
immunization / /ˌɪm.jə.naɪˈzeɪ.ʃən/,"Sự tiêm chủng; quá trình bảo vệ cơ thể chống lại bệnh tật thông qua việc tiêm vaccine. (synonyms: vaccination, inoculation)",noun,Immunization programs have eradicated diseases like smallpox.,,Sửa từXóa từ,HuyForum: Chủ đề HEALTH (SỨC KHỎE),https://luyentu.com/words
obesity / /əʊˈbiː.sə.ti/,Béo phì; tình trạng cơ thể có quá nhiều mỡ. (synonym: overweight (as an adjective)),noun,Obesity is linked to various health complications such as diabetes.,,Sửa từXóa từ,HuyForum: Chủ đề HEALTH (SỨC KHỎE),https://luyentu.com/words
sedentary / /ˈsed.ən.tər.i/,"Ít vận động; thường ngồi hoặc ít hoạt động thể chất. (synonyms: inactive, stationary)",adjective,A sedentary lifestyle increases the risk of heart disease.,,Sửa từXóa từ,HuyForum: Chủ đề HEALTH (SỨC KHỎE),https://luyentu.com/words
nutrition / /njuːˈtrɪʃ.ən/,"Dinh dưỡng; quá trình cung cấp hoặc nhận các chất cần thiết cho sức khỏe. (synonyms: nourishment, sustenance)",noun,Proper nutrition is essential for child development.,,Sửa từXóa từ,HuyForum: Chủ đề HEALTH (SỨC KHỎE),https://luyentu.com/words
chronic / /ˈkrɒn.ɪk/,"Mãn tính; kéo dài hoặc tái diễn trong thời gian dài. (synonyms: persistent, long-term)",adjective,Chronic illnesses require ongoing medical attention.,,Sửa từXóa từ,HuyForum: Chủ đề HEALTH (SỨC KHỎE),https://luyentu.com/words
preventive / /prɪˈven.tɪv/,"Phòng ngừa; được thiết kế để ngăn chặn bệnh tật trước khi nó xảy ra. (synonyms: prophylactic, precautionary)",adjective,Preventive measures like regular exercise can reduce health risks.,,Sửa từXóa từ,HuyForum: Chủ đề HEALTH (SỨC KHỎE),https://luyentu.com/words
diagnosis / /ˌdaɪ.əɡˈnəʊ.sɪs/,"Sự chẩn đoán; việc xác định bản chất của bệnh hoặc tình trạng thông qua kiểm tra và phân tích. (synonyms: identification, discernment)",noun,Early diagnosis of cancer increases the chances of successful treatment.,,Sửa từXóa từ,HuyForum: Chủ đề HEALTH (SỨC KHỎE),https://luyentu.com/words
epidemic / /ˌep.ɪˈdem.ɪk/,"Dịch bệnh; sự bùng phát của một bệnh trong một cộng đồng tại một thời điểm cụ thể. (synonyms: outbreak, surge)",noun,The flu epidemic affected thousands of people last winter.,,Sửa từXóa từ,HuyForum: Chủ đề HEALTH (SỨC KHỎE),https://luyentu.com/words
hygiene / /ˈhaɪ.dʒiːn/,"Vệ sinh; các biện pháp và nguyên tắc duy trì sức khỏe và phòng ngừa bệnh tật. (synonyms: cleanliness, sanitation)",noun,Good personal hygiene is important to prevent the spread of infection.,,Sửa từXóa từ,HuyForum: Chủ đề HEALTH (SỨC KHỎE),https://luyentu.com/words
curriculum / /kəˈrɪk.jʊ.ləm/,"The subjects and content taught in a course or school (syllabus, educational program).",noun,The school's curriculum is designed to provide students with a comprehensive education in both the arts and sciences.,,Sửa từXóa từ,HuyForum: Chủ đề Education(Giáo dục),https://luyentu.com/words
pedagogy / /ˈped.ə.ɡɒdʒ.i/,"The science or art of teaching and education (teaching method, instructional technique).",noun,Innovative pedagogy is essential for engaging students in active learning.,,Sửa từXóa từ,HuyForum: Chủ đề Education(Giáo dục),https://luyentu.com/words
literacy / /ˈlɪt.ər.ə.si/,"The ability to read and write; a level of knowledge in a particular field (reading and writing skills, competence).",noun,Literacy rates have improved significantly due to government educational initiatives.,,Sửa từXóa từ,HuyForum: Chủ đề Education(Giáo dục),https://luyentu.com/words
vocational / /vəʊˈkeɪ.ʃən.əl/,"Relating to training for a job or the skills needed for a particular profession (occupational, professional).",adjective,Vocational training programs provide students with practical skills for the workforce.,,Sửa từXóa từ,HuyForum: Chủ đề Education(Giáo dục),https://luyentu.com/words
scholarship / /ˈskɒl.ə.ʃɪp/,"Financial aid for study; intensive academic study (grant, academic study).",noun,She received a full scholarship to study at the prestigious university.,,Sửa từXóa từ,HuyForum: Chủ đề Education(Giáo dục),https://luyentu.com/words
holistic / /həʊˈlɪs.tɪk/,"Considering the whole rather than the parts; comprehensive (comprehensive, integrated).",adjective,A holistic approach to education considers emotional and social development as well as intellectual growth.,,Sửa từXóa từ,HuyForum: Chủ đề Education(Giáo dục),https://luyentu.com/words
compulsory / /kəmˈpʌl.sər.i/,"Required by law or rule; obligatory (mandatory, obligatory).",adjective,"In many countries, education is compulsory for children up to the age of sixteen.",,Sửa từXóa từ,HuyForum: Chủ đề Education(Giáo dục),https://luyentu.com/words
discipline / /ˈdɪs.ə.plɪn/,"A branch of knowledge; self-control or adherence to rules (field, subject, control).",noun,Psychology is a fascinating discipline that explores human behavior.,,Sửa từXóa từ,HuyForum: Chủ đề Education(Giáo dục),https://luyentu.com/words
accreditation / /əˌkred.ɪˈteɪ.ʃən/,"Official certification of quality or standards (certification, endorsement).",noun,The university received accreditation from the national education board.,,Sửa từXóa từ,HuyForum: Chủ đề Education(Giáo dục),https://luyentu.com/words
plagiarism / /ˈpleɪ.dʒər.ɪ.zəm/,"The act of copying someone else's work or ideas without attribution (copying, infringement).",noun,Students must avoid plagiarism by properly citing all sources.,,Sửa từXóa từ,HuyForum: Chủ đề Education(Giáo dục),https://luyentu.com/words
innovation / /ˌɪn.əˈveɪ.ʃən/,"Sự đổi mới; sự giới thiệu những thứ mới hoặc phương pháp mới. (invention, novelty)",noun,Technological innovation drives economic growth in the modern world.,,Sửa từXóa từ,HuyForum: Chủ đề TECHNOLOGY (Công Nghệ),https://luyentu.com/words
automation / /ˌɔː.təˈmeɪ.ʃən/,"Sự tự động hóa; sử dụng máy móc để thay thế con người trong các quy trình. (mechanization, robotization)",noun,Automation in manufacturing has increased productivity but reduced the need for manual labor.,,Sửa từXóa từ,HuyForum: Chủ đề TECHNOLOGY (Công Nghệ),https://luyentu.com/words
cybersecurity / /ˌsaɪ.bə.sɪˈkjʊə.rɪ.ti/,"Bảo mật mạng; biện pháp bảo vệ hệ thống mạng khỏi các mối đe dọa kỹ thuật số. (information security, data protection)",noun,Companies must invest in cybersecurity to protect sensitive data from hackers.,,Sửa từXóa từ,HuyForum: Chủ đề TECHNOLOGY (Công Nghệ),https://luyentu.com/words
artificial intelligence / /ˌɑː.tɪˈfɪʃ.əl ɪnˈtel.ɪ.dʒəns/,Trí tuệ nhân tạo; khả năng của máy tính hoặc robot thực hiện các nhiệm vụ thường đòi hỏi trí tuệ con người. (machine intelligence),noun,Artificial intelligence is transforming industries such as healthcare and finance.,,Sửa từXóa từ,HuyForum: Chủ đề TECHNOLOGY (Công Nghệ),https://luyentu.com/words
